q0001  00:00.0-00:10.3  Величие человеческих достижений
q0439  22:37.9-22:38.9  Да в пизду тебя.
q0440  22:39.3-22:41.5  Нет, нет, нет, нет, не надо.
q0441  22:42.1-22:43.5  Тысячи, как и договаривались.
q0442  22:43.6-22:43.9  Давайте...
q0443  22:46.6-22:48.9  Ладно, договорились.
q0444  22:48.9-22:49.6  Отлично.
q0445  22:49.9-22:51.9  Класс. Название наше.
q0446  22:52.5-22:53.4  Инфотроп.
q0447  22:54.4-22:56.5  Облачные пробивные платформы.
q0448  22:57.4-22:58.7  Пробивает сквозь облака.
q0449  22:59.6-23:01.2  Облака уже были, чёрт.
q0450  23:01.5-23:05.5  Сделаем мир лучше с помощью кросс-платформенных,
q0451  23:06.3-23:09.0  бизнес-ориентированных, облачных...
q0452  23:09.0-23:10.6  Вот опять чёрт, опять облака.
q0453  23:11.0-23:12.3  Инфотроп, инфотроп!
q0454  23:12.4-23:13.7  Что ещё за инфотроп?
q0455  23:13.8-23:14.7  Что это за хуйня?
q0456  23:15.1-23:16.9  Это куча бессмысленных слов.
q0457  23:17.2-23:18.4  Так, нет, нет, нет, нет.
q0458  23:18.4-23:19.9  Сделай мир лучше!
q0459  23:19.9-23:21.3  Сделай мир лучше!
q0460  23:22.3-23:23.6  Сделай мир лучше!
q0461  23:24.4-23:25.7  Сделай мир лучше!
q0462  23:26.3-23:27.5  Сделай мир лучше!
q0463  23:28.3-23:29.3  Сделай мир лучше!
q0464  23:29.5-23:30.2  До свидания!
q0465  23:30.6-23:31.8  Сделай мир лучше!
q0466  23:32.1-23:33.1  Сделай мир лучше!
q0467  23:33.4-23:34.6  Сделай мир лучше!
q0468  23:34.8-23:36.7  Сделай мир лучше!
q0469  23:37.6-23:38.8  Сделай мир лучше!
q0470  23:39.4-23:40.5  Сделай мир лучше!
q0471  23:40.7-23:41.0  Сэр!
q0472  23:41.2-23:42.6  С вами все хорошо?
q0473  23:43.8-23:45.7  Он там всю ночь просиделся.
q0474  23:46.4-23:47.7  Я вызываю шерифовку.
q0475  23:47.7-23:49.1  Сделаем мир лучше.
q0476  23:50.5-23:53.0  Нет, я уверяю, он занят вашим вопросом.
q0477  23:53.2-23:54.6  Мистер Грегори, это нелепо.
q0478  23:55.0-23:57.6  Мистер Грегори, нам нужен ответ, и немедленно.
q0479  23:59.7-24:00.4  Да?
q0480  24:01.2-24:02.2  Нам нужны деньги.
q0481  24:02.6-24:02.9  Сейчас.
q0482  24:03.4-24:07.2  Я уверен, что Бургер Кинг, кунжут и всё, что вы нам тут втирали,
q0483  24:07.5-24:09.5  это, конечно, здорово, но...
q0484  24:09.5-24:11.4  Мьянма и Бразилия.
q0485  24:11.4-24:12.8  Нет, нет, хватит.
q0486  24:13.1-24:14.4  Мы получим деньги?
q0487  24:14.8-24:15.3  Или нет?
q0488  24:15.3-24:18.5  Прошу, объясните, что происходит.
q0489  24:20.3-24:22.2  Забавное совпадение.
q0490  24:22.6-24:28.1  В двух из трех стран, поставляющих миру кунжут, возросла популяция цикад.
q0491  24:28.9-24:36.1  В Мьянме они множатся раз в 13 лет, а бразильские цикады раз в 17.
q0492  24:36.9-24:39.3  Через год бум численности совпадет.
q0493  24:40.4-24:43.3  Впервые за 221 год.
q0494  24:45.3-24:48.0  Они истребят урожай в обеих странах.
q0495  24:48.9-24:53.7  В отличие от Мьянмы и Бразилии, в Индонезии не будет цикад.
q0496  24:54.4-24:59.0  Я удивился, насколько дешев кунжут из Индонезии.
q0497  25:00.4-25:02.3  И сделал закупку.
q0498  25:02.8-25:09.3  И теперь, если дефицит поднимет цену хотя бы на 10%, мы заработаем...
q0499  25:10.4-25:10.7  Эван?
q0500  25:11.3-25:12.8  68 миллионов долларов.
q0501  25:12.8-25:18.8  С вашего позволения, буду ориентироваться на эту сумму и выдам вам ссуду на 15 миллионов, господа.
q0502  25:20.0-25:21.5  Или вам надо больше?
q0503  25:21.9-25:23.5  Нет, нам спасибо, спасибо.
q0504  25:23.9-25:24.8  Ёбушки-воробушки.
q0505  25:25.1-25:26.2  Да, счастливы.
q0506  25:26.4-25:29.0  Видите? Я же говорила, он решает ваш вопрос.
q0507  25:29.2-25:30.8  А теперь...
q0508  25:31.4-25:33.2  Кто желает перекусить?
q0509  25:34.3-25:37.5  Эван был столь любезен, что купил нам завтрак.
q0510  25:37.9-25:38.8  Пока мы сидели.
q0511  25:39.0-25:40.6  Вообще-то, с удовольствием.
q0512  25:40.9-25:41.9  Большое спасибо.
q0513  25:42.8-25:46.7  Это что, тмин?
q0514  25:47.6-25:48.8  В соусе барбекю.
q0515  25:50.4-25:52.2  Я обязательно выясню.
q0516  25:52.6-25:53.4  Постарайся.
q0517  26:01.4-26:04.1  Господа, мы только что из банка.
q0518  26:04.5-26:06.0  Наша первая платёжка.
q0519  26:06.4-26:08.4  Мы официально пегий дудочник.
q0520  26:08.4-26:10.1  А я официальный работник.
q0521  26:10.2-26:11.7  Дюнеш мне все уши прожужжал,
q0522  26:11.7-26:13.1  и мы поехали в визовый центр.
q0523  26:13.5-26:14.4  Дело пяти минут.
q0524  26:14.9-26:16.1  А я пять лет ждал.
q0525  26:16.3-26:18.6  Меня 14 раз про Аль-Хайду спросили.
q0526  26:19.1-26:21.7  А он всё получил, пока я искал парковку.
q0527  26:24.3-26:24.8  Алло?
q0528  26:25.2-26:26.6  Это Пегги и Дудочник?
q0529  26:26.8-26:27.4  Теперь да.
q0530  26:27.6-26:30.2  Но мы сейчас не рассматриваем предложения инвесторов.
q0531  26:30.8-26:31.4  Инвесторов?
q0532  26:31.8-26:32.1  Нет.
q0533  26:32.4-26:34.9  Я делся заправки на 108-м шоссе.
q0534  26:35.4-26:37.3  Кто-то написал ваше имя и телефон.
q0535  26:37.6-26:39.4  Дерьмо, на стене туалета.
q0536  26:39.4-26:42.1  О, вы, наверное, ошиблись номером.
q0537  26:42.3-26:42.8  Ричи.
q0538  26:44.8-26:45.7  Всем привет.
q0539  26:47.9-26:48.6  Привет.
q0540  26:49.0-26:49.7  А кто это?
q0541  26:50.0-26:52.3  Вы не поверите, но это я.
q0542  26:52.9-26:56.7  Время циклично, и я возродился в том же времени, в котором живу.
q0543  26:56.9-26:58.4  Да, но откуда он?
q0544  26:58.8-26:59.7  Из будущего.
q0545  27:00.2-27:01.0  Вестима.
q0546  27:01.7-27:04.0  А еще с парковки на заправке в Соноре.
q0547  27:05.1-27:07.3  Он выжрал весь пакет грибов.
q0548  27:08.3-27:09.0  Офигеть.
q0549  27:09.4-27:14.9  Эрлих, тынга коммиго. Микаса эс. Микаса.
q0550  27:18.4-27:21.6  Позвать полицию, пока он еще что-нибудь не натворил?
q0551  27:22.3-27:25.9  Пришло сообщение. Пропал Роджелио Нунец.
q0552  27:26.5-27:27.4  А, ясно.
q0553  27:32.7-27:35.0  Перевел Василий Мерзляков.
q0554  27:35.0-27:38.5  Роли озвучивали Руслан Габидуллин и Ольга Кравцола.
