q0001  00:00.0-00:03.7  Хорошо, где болит?
q0461  25:48.8-25:50.3  Мне не стоило встречаться с Роем.
q0462  25:51.7-25:53.7  И была масса причин отменить свадьбу.
q0463  25:54.9-25:58.0  Но правда в том, что мне плевать на остальные причины, кроме встречи с тобой.
q0464  25:58.9-26:00.2  А теперь ты с кем-то другим.
q0465  26:00.9-26:01.6  И это хорошо.
q0466  26:01.8-26:04.5  Это как угодно, я не об этом
q0467  26:04.5-26:07.3  Я не... Ладно, у меня ноги горят
q0468  26:07.3-26:09.9  Я просто хочу сказать тебе, Джим
q0469  26:09.9-26:13.0  И всем остальным в этом кругу, я думаю
q0470  26:13.0-26:15.9  Что мне не хватает твоего веселья
q0471  26:15.9-26:19.7  Только твоего, а не всех в кругу
q0472  26:19.7-26:25.6  Ладно, теперь я пойду к воде
q0473  26:25.6-26:28.7  Да
q0474  26:28.7-26:31.2  Это был хороший день
q0475  26:31.2-26:36.4  Эм, это было потрясающе
q0476  26:36.4-26:40.5  Но я ищу кого-то с опытом в продажах
q0477  27:31.2-28:01.2  Продолжение следует...
