q0001  00:30.0-00:31.0  Я не могу.
q0467  25:21.1-25:22.8  Как мы будем домой?
q0468  25:22.8-25:34.2  Посмотрите, миссия завершена
q0469  25:34.2-25:36.7  Они как кучка четвероклассников
q0470  25:36.7-25:40.7  Иногда детей объединяет только ненависть к училке
q0471  25:40.7-25:42.5  Но это изменится
q0472  25:42.5-25:49.3  Потому что к концу четвертого класса я больше всего общался именно с училками
q0473  25:52.8-25:54.8  Джо-ло!
q0474  25:54.8-25:56.8  Михаил!
q0475  25:56.8-25:58.8  Ты был виноват Тони Гарднер, когда он был пытаться quit?
q0476  25:58.8-26:00.8  Я был.
q0477  26:00.8-26:02.8  Можем-пределительный крис,
q0478  26:02.8-26:03.8  комплименты,
q0479  26:03.8-26:05.8  ты понимаешь, Михаил,
q0480  26:05.8-26:07.8  что мы сейчас должны ему пить его в сервер.
q0481  26:07.8-26:09.8  Да.
q0482  26:09.8-26:11.8  Вы понимаете?
q0483  26:11.8-26:12.8  Но ты понимаешь,
q0484  26:12.8-26:14.8  что это было Двайтс,
q0485  26:14.8-26:16.8  что я думаю, что это было в номер два?
q0486  26:16.8-26:18.8  Нет, нет, нет,
q0487  26:18.8-26:20.8  Джим, он ваш номер два.
q0488  26:20.8-26:39.1  Итак, после долгих раздумий и душевных терзаний я решил, что Джим будет моим новым вторым номером.
q0489  26:40.5-26:44.1  Если ему это надо, за это лишних денег не платят.
q0490  26:44.2-26:45.1  Вообще-то платят.
q0491  26:46.8-26:48.4  А кто тогда будет третьим?
q0492  26:49.2-26:50.8  Это я ещё не решил.
q0493  26:51.1-26:56.8  Я хочу сказать, Майкл, что вы очень уверенно решили эту проблему.
q0494  26:57.1-26:58.9  Спасибо, Энди, ты очень добр.
q0495  26:59.4-27:02.3  А я хочу сказать, что ваше лидерство принесло...
q0496  27:02.3-27:02.7  Заткнись.
q0497  27:03.0-27:03.6  Заткнись.
q0498  27:03.8-27:04.4  Ты...
q0499  27:06.1-27:07.8  Дурень.
q0500  27:13.6-27:14.3  Привет.
q0501  27:14.8-27:15.1  Ты где?
q0502  27:16.0-27:17.0  Я в магазине.
q0503  27:17.0-27:20.3  Я покупаю штопор, чтобы сделать себе аллопатамию.
q0504  27:21.5-27:24.1  Да ладно. Что, тебе не понравился первый день?
q0505  27:24.2-27:24.8  Боже мой.
q0506  27:25.4-27:28.2  Эй, может, встретимся в Худерс через часик? Мне надо выпить.
q0507  27:28.5-27:30.2  Конечно. Это здорово.
q0508  27:30.7-27:31.3  Эй.
q0509  27:32.2-27:34.2  Эй, послушай, можно я тебе перезвоню?
q0510  27:34.3-27:34.5  Да.
q0511  27:34.8-27:35.5  Ладно, спасибо.
q0512  27:35.8-27:36.2  Хорошо.
q0513  27:37.5-27:37.8  Эй!
q0514  27:38.9-27:39.5  Эй!
q0515  27:39.7-27:41.0  Я думал, ты уже ушла.
q0516  27:42.1-27:43.0  А, нет.
q0517  27:43.4-27:44.0  У меня были...
q0518  27:44.0-27:45.8  Были ещё дела.
q0519  27:45.8-27:46.5  А, хорошо.
q0520  27:46.5-27:47.3  Что такое?
q0521  27:48.3-27:50.1  Ничего, мне просто неловко.
q0522  27:50.3-27:52.2  Кажется, сегодня всё пошло не так, как я хотел.
q0523  27:52.2-27:52.4  Ты о чём?
q0524  27:54.3-27:58.9  Мне просто стоило сказать тебе, что я вроде как начал кое с кем встречаться.
q0525  27:59.2-28:01.8  О, это просто замечательно.
q0526  28:02.2-28:03.3  Можешь делать, что хочешь.
q0527  28:05.1-28:06.7  Хорошо, отлично.
q0528  28:08.0-28:10.5  Мы же друзья, и всегда будем друзьями.
q0529  28:11.7-28:12.1  Верно.
q0530  28:14.3-28:15.7  Хорошо, что ты вернулся.
q0531  28:15.7-28:16.2  Да.
q0532  28:16.5-28:18.5  Возвращаться здорово.
q0533  28:46.5-28:49.2  Я взял твой дуркмобиле в паркинг-лот.
q0534  28:49.2-28:50.6  Что это за? 4 миллилитров?
q0535  28:50.6-28:51.7  Я дубль-турал.
q0536  28:51.7-28:54.5  Классик Транзам, Винтаж Американ Муссл.
q0537  28:54.5-28:56.7  Да, мой X-Tерра.
q0538  28:56.7-28:58.7  Лучширя, но рухгад.
q0539  28:58.7-28:59.9  Легко-то на западе.
q0540  28:59.9-29:01.5  X-Tерра, это даже не вообще вообще.
q0541  29:01.5-29:04.5  В общем, это латин для «эрт».
q0542  29:04.5-29:06.1  О, так вы двигаете «эрт».
q0543  29:06.1-29:06.6  Да.
q0544  29:06.6-29:10.1  Я бы хотел двигаться на «классик Транзам»
q0545  29:10.1-29:11.5  чем «эрт».
q0546  29:11.5-29:13.5  Я бы тебя бы.
q0547  29:13.5-29:16.7  О, и, кстати, 1985 года он подвесил его машину.
q0548  29:16.7-29:20.0  Я надеюсь, что 1985 у нас машина, потому что я двигаю 87.
q0549  29:20.0-29:23.6  О, и я просто приехал из будущего, и я просто приехал из вашего футера,
q0550  29:23.6-29:25.4  и, ну, не было, никто не пришел.
q0551  29:25.4-29:30.4  И, по-моему, вы не можете идти.
q0552  29:30.4-29:34.7  О, это было очень хорошо-конструктивное ответственность.
q0553  29:34.7-29:39.2  Вы должны быть английский профессор в Курнад University.
q0554  29:39.2-29:40.8  О, ты idiot.
q0555  29:40.8-29:43.7  Если я был виноват, я бы ездил в трансам.
q0556  29:43.9-29:46.5  Если вы были в трансам, вы бы ездили в трансам.
q0557  29:46.5-29:47.6  Вы бы ездили в мире.
q0558  29:49.9-29:50.5  Виноват!
q0559  29:52.1-29:53.3  Вы же виноват!
q0560  29:54.2-29:55.4  Найдем вновь!
q0561  29:55.9-29:57.9  Я всегда был виноват!
q0562  29:58.2-29:58.7  Виноват!
q0563  30:02.8-30:04.1  Я тоже получил это.
q0564  30:10.8-30:40.7  Продолжение следует...
