q0001  00:00.0-00:01.7  Привет. Привет.
q0460  23:44.7-23:45.0  Конечно.
q0461  23:46.2-23:46.7  Да.
q0462  23:47.5-23:51.0  Если ты не против, я могу развесить эти постеры в своем районе.
q0463  23:51.5-23:53.8  Школы, почты и так далее.
q0464  23:55.2-23:58.2  Знаешь, я, наверное, тебя недооценивал.
q0465  23:58.2-24:00.0  Ты не такой засранец.
q0466  24:09.0-24:12.0  Ладно, я действительно это сделаю.
q0467  24:12.5-24:13.5  Удачи, Майкл.
q0468  24:13.5-24:15.6  Знаете что, мне нужны мои девочки.
q0469  24:15.9-24:17.3  Пэм, Карен, даже Филлис.
q0470  24:17.5-24:18.5  Давайте сделаем это.
q0471  24:19.8-24:20.7  Сделаем это.
q0472  24:23.5-24:25.5  Ладно, помните, будьте сильным.
q0473  24:28.2-24:33.9  Я люблю вас, ребята.
q0474  24:35.8-24:37.0  Это голосовая почта.
q0475  24:37.0-24:38.0  Не оставляйте сообщения.
q0476  24:38.0-24:39.5  Привет, Джен, это я, Майкл.
q0477  24:40.1-24:42.6  Я звоню сказать, что нам нужен перерыв.
q0478  24:43.7-24:44.3  Постоянный.
q0479  24:45.0-24:51.5  И я знаю, все это говорят, но я хочу остаться друзьями.
q0480  24:52.0-24:54.8  Или хотя бы надежными деловыми партнерами.
q0481  24:54.8-24:59.3  Только знай, это не из-за меня, а из-за тебя
q0482  24:59.3-25:04.4  Ладно, подруга
q0483  25:04.4-25:06.2  Кто-то пришел, мне пора
q0484  25:06.2-25:07.2  Поговорим потом
q0485  25:07.2-25:08.5  Попозже
q0486  25:08.5-25:12.0  Майкл
q0487  25:12.0-25:17.7  Я была очень недовольна нашим предыдущим разговором
q0488  25:17.7-25:22.5  И я просто не могу перестать думать об этом
q0489  25:22.5-25:24.3  Так что я решила приехать сюда
q0490  25:24.3-25:26.5  чтобы лично извиниться.
q0491  25:28.5-25:29.3  Так что...
q0492  25:34.8-25:36.8  Прости меня.
q0493  25:39.0-25:40.0  Спасибо.
q0494  25:42.3-25:42.8  Так.
q0495  25:43.9-25:44.8  Все в порядке?
q0496  25:45.8-25:46.8  Абсолютно.
q0497  25:47.6-25:49.3  Прости, погоди.
q0498  25:49.3-25:50.5  Нет, нет.
q0499  25:50.8-25:51.6  Подожди секунду.
q0500  25:51.6-25:56.0  О, это от тебя?
q0501  25:59.0-26:00.6  Хочешь заказать что-нибудь на ужин?
q0502  26:00.9-26:02.6  Привет, Джен. Это я, Майкл.
q0503  26:03.0-26:05.3  Я звоню сказать, что нам нужен перерыв.
q0504  26:05.9-26:06.5  Постоянный.
q0505  26:07.0-26:12.4  И я знаю, все это говорят, но я хочу остаться друзьями.
q0506  26:12.7-26:16.5  Может, итальянскую кухню или хотя бы надёжными деловыми партнёрами.
q0507  26:16.6-26:17.1  Китайскую?
q0508  26:18.7-26:21.3  Только знай, это не из-за меня, а из-за тебя.
q0509  26:22.6-26:23.5  Ладно, подруга.
q0510  26:31.5-26:34.8  Тот, кто говорит, что понимает женщин, дурак.
q0511  26:36.2-26:38.5  Потому что они непознаваемы.
q0512  26:39.5-26:41.7  Это фонтан желаний в торговом центре.
q0513  26:42.6-26:46.9  Я бросил монетку, чтобы любая женщина в мире могла загадать желание.
q0514  26:47.4-26:49.5  Я загадал, чтобы Джен про меня забыла.
q0515  26:49.5-26:53.1  Я загадал плазменный телевизор Филлис
q0516  26:53.1-26:56.2  Я загадал Пэм набраться смелости
q0517  26:56.2-26:59.2  Я загадал сердце для Анджелы
q0518  26:59.2-27:01.5  И мозг для Келли
q0519  27:01.5-27:06.5  Майкл, как ты можешь так ценить женщин и бросить одну из них?
q0520  27:07.9-27:13.6  В смысле, как я могу быть таким нелогичным и ветреным и непредсказуемым?
q0521  27:14.2-27:15.7  И эмоциональным?
q0522  27:15.7-27:20.9  Ну, может, я чему-то научился от женщин?
q0523  27:24.8-27:27.5  Горячая линия Дандер Мифлин тире сексуальные маньяки.
q0524  27:27.7-27:28.3  Это Дуайт Шрут.
q0525  27:28.5-27:29.6  Привет, Дуайт. Это Джим.
q0526  27:30.0-27:31.3  Джим, ты чего? Я занят.
q0527  27:32.3-27:33.7  Неправда, я же тебя вижу.
q0528  27:34.6-27:35.8  Я вешаю трубку.
q0529  27:36.0-27:36.3  Нет.
q0530  27:37.7-27:39.7  У меня информация о сексуальном маньяке.
q0531  27:41.1-27:43.4  У вас есть информация о сексуальном маньяке?
q0532  27:43.4-27:46.0  Я видел его две минуты назад.
q0533  27:46.6-27:47.1  Где?
q0534  27:47.8-27:49.7  В женском туалете над раковиной.
q0535  27:56.8-27:58.7  Команда антиобнажонки!
q0536  27:59.8-28:00.7  Над раковиной.
q0537  28:01.7-28:03.1  Над раковиной.
q0538  28:13.4-28:14.0  КАМ!
q0539  28:43.4-29:13.4  Продолжение следует...
