q0001  00:00.0-00:30.0  Девушки отдыхают
q0447  21:56.4-21:58.5  Пацаны, на улицу выходили?
q0448  21:59.3-22:00.4  Сходите, посмотрите
q0449  22:00.4-22:02.8  Нетушки, все и весь мы работаем
q0450  22:02.8-22:04.1  Ох ты
q0451  22:04.1-22:06.9  Хорошо, переделал
q0452  22:06.9-22:08.6  Я и так улыбаюсь
q0453  22:08.6-22:10.6  Нафига было большой палец пририсовывать?
q0454  22:11.0-22:11.7  Это неуместно
q0455  22:11.7-22:13.9  Правда? А остальное уместно?
q0456  22:13.9-22:15.2  Аилда Динеша?
q0457  22:15.7-22:16.3  О нет
q0458  22:16.3-22:18.3  Эээ... Бляха.
q0459  22:21.5-22:22.6  Это ваш дом?
q0460  22:23.1-22:24.3  Да, мой.
q0461  22:24.9-22:27.2  Нам поступили жалобы на ваш рисунок.
q0462  22:27.6-22:29.8  Чем вы занимаетесь дома, это ваше дело.
q0463  22:30.1-22:31.5  А, нет, мы этим...
q0464  22:31.5-22:32.0  Нет-нет.
q0465  22:32.0-22:32.7  Не занимаемся.
q0466  22:32.8-22:33.9  Но это же вы, разве нет?
q0467  22:34.0-22:35.0  Тот, что справа.
q0468  22:36.2-22:36.5  Да.
q0469  22:36.9-22:38.3  Вам придётся это закрасить.
q0470  22:38.5-22:40.8  Боюсь, художник будет против. Он латинос.
q0471  22:42.2-22:43.4  Это расизм?
q0472  22:44.2-22:45.8  А почему вы меня спрашиваете?
q0473  22:45.8-22:50.2  А, нет, я мог спросить кого угодно, но ваша раса...
q0474  22:50.2-22:51.9  Неважно, я кое-что придумал.
q0475  22:52.3-22:54.3  Поднимем ворота и так и оставим.
q0476  22:54.4-22:55.7  Не-не-не-не-не, закрой!
q0477  22:56.4-22:57.0  Нет.
q0478  22:59.2-23:03.1  Вы только посмотрите, что осталось от прошлого жильца.
q0479  23:04.5-23:07.7  Невероятно. Глаза в своем не верю, а я ни разу в гараж не заходил.
q0480  23:08.1-23:09.0  Это что, конопля?
q0481  23:09.4-23:11.0  Нам придётся её конфисковать.
q0482  23:11.0-23:16.9  А давайте оставим и подождем, когда преступник вернется на место преступления.
q0483  23:19.3-23:20.8  Ну, что скажешь.
q0484  23:21.4-23:24.3  Я беру и картину, и десять косарей.
q0485  23:24.6-23:25.6  А, три что получишь?
q0486  23:25.8-23:29.0  Я думал, когда куплю новые ворота, вдруг ты нарисуешь мне новый логотип.
q0487  23:29.8-23:33.3  Нечто столь же художественное, но чуть менее вызывающее.
q0488  23:33.5-23:34.8  Эй, не заглядывать!
q0489  23:35.2-23:36.3  Отойдите оттуда!
q0490  23:37.3-23:38.0  Это не я!
q0491  23:41.0-23:43.5  Давай на чистоту.
q0492  23:43.8-23:45.8  Мне очень, очень, очень это нужно.
q0493  23:46.9-23:50.4  Я стараюсь казаться уязвимым.
q0494  23:50.7-23:52.3  Не знаю, тут безопасно вообще?
q0495  23:52.7-23:56.0  Слышь, кажись уязвимым сколько хочешь, но тут небезопасно.
q0496  23:56.3-23:59.0  Неделю назад прямо на этом месте зарезали сантехника.
q0497  23:59.1-24:00.3  Что? Ёлки-палки!
q0498  24:00.7-24:02.3  Зачем резать сантехника?
q0499  24:04.0-24:05.7  Ну ладно, попытка не пытка.
q0500  24:05.8-24:07.0  Всё равно спасибо, Чуэй.
q0501  24:08.5-24:09.0  Стой.
q0502  24:09.0-24:11.9  Картина так и быть оставь
q0503  24:11.9-24:13.1  Будет радовать глаз
q0504  24:13.1-24:16.2  И к тому же я знаю, какие логотипы любят бледнолицые
q0505  24:16.2-24:17.9  Это здорово, спасибо, Чуи
q0506  24:17.9-24:20.1  Да, и благодарю
q0507  24:20.1-24:20.9  Давай, бро
q0508  24:20.9-24:21.7  И вот так
q0509  24:21.7-24:22.5  Бывай
q0510  24:22.5-24:28.3  Ещё одна ушла
q0511  24:28.3-24:30.1  Ты серьёзно?
q0512  24:30.8-24:32.3  Всё ещё бьёшься над последней?
q0513  24:32.7-24:34.4  Передохни, торопиться некуда
q0514  24:39.0-24:41.0  Что, небось, доволен собой?
q0515  24:41.6-24:43.1  Я доволен всеми нами.
q0516  24:46.1-24:47.1  Алло?
q0517  24:48.1-24:50.6  Привет. Ричард здесь?
q0518  24:52.0-24:53.9  Не знаю. Привет.
q0519  24:54.8-24:55.3  Привет.
q0520  24:56.4-24:58.3  Зашла проверить инвестиции?
q0521  24:59.2-25:02.8  Слушай, ты был прав. Я слегка приврала.
q0522  25:04.3-25:05.3  Или не слегка.
q0523  25:06.2-25:07.7  Я вцепилась в эту сделку.
q0524  25:08.4-25:11.6  Я бы с радостью сказала, что это моя работа,
q0525  25:12.3-25:14.3  но так оправдывались фашисты,
q0526  25:14.8-25:16.8  так что не уверена, что это эффективно.
q0527  25:17.0-25:17.8  И дальше что?
q0528  25:19.4-25:20.2  Прости меня.
q0529  25:21.8-25:23.2  Хотя мне не за что извиняться.
q0530  25:23.9-25:25.7  Это я уговорила Питера взять вас,
q0531  25:26.0-25:28.5  потому что у вас невероятная платформа,
q0532  25:28.8-25:31.2  на порядок лучше, чем все остальные его алгоритмы.
q0533  25:32.0-25:34.2  И прости, что про них тоже не сказала.
q0534  25:34.2-25:38.2  Я знаю, что два месяца это мало, чтобы всё закончить.
q0535  25:38.9-25:43.4  Но что-то мне подсказывает, что ты работаешь куда шустрее, если дать хорошего пенделя.
q0536  25:44.7-25:46.3  Это крайне мощный пендел.
q0537  25:46.7-25:47.4  Так и есть.
q0538  25:49.0-25:49.6  И вот ещё.
q0539  25:50.7-25:54.2  Вы единственный проект Питера, в который я вложила 10% своей зарплаты.
q0540  25:55.8-25:57.5  Так что я очень на вас надеюсь.
q0541  25:59.7-26:01.2  Ну что ж.
q0542  26:02.2-26:03.1  Значит, выберемся.
q0543  26:04.2-26:10.4  Видела ваш логотип?
q0544  26:10.9-26:12.1  А я и не знал.
q0545  26:13.2-26:15.2  Класс, пацаны, новый логотип.
q0546  26:17.6-26:19.2  Может, вдвоём сходим?
q0547  26:20.2-26:20.9  Ты первый.
q0548  26:28.1-26:28.9  Прекрасно.
q0549  26:30.2-26:34.1  Пусть и срочными буквами, но хотя бы без расизма.
q0550  26:34.2-26:36.8  Правда ведь?
q0551  26:37.7-26:38.8  Это Чуи Рамирес?
q0552  26:39.4-26:42.4  Ничего себе, он сегодня продал картину за полмиллиона баксов.
q0553  26:44.0-26:45.7  Надеюсь, не на гаражных воротах?
q0554  26:49.2-26:51.7  Не слишком вызывающе для офиса?
q0555  26:52.1-26:55.9  Кевин, ты достиг всего, бросая вызов эмоциям.
q0556  26:56.5-26:57.6  Вам ли не знать?
q0557  26:59.3-27:01.0  Хотя, немного похабное.
q0558  27:04.2-27:26.5  Перевел Василий Мерзляков.
q0559  27:26.5-27:30.0  Роли озвучивали Руслан Габидуллин и Ольга Кравцова.
