q0001  00:00.0-00:04.3  Дэвид?
q0470  22:37.3-22:37.6  Спасибо.
q0471  22:38.4-22:40.2  Мне пришлось сделать Энди вторым номером.
q0472  22:40.5-22:41.6  Политика эта сложная.
q0473  22:42.2-22:42.8  Тебе не понять.
q0474  22:43.4-22:46.0  Я хочу, чтобы ты была помощником управляющего.
q0475  22:47.1-22:47.6  Филиалом.
q0476  22:48.6-22:49.1  Серьезно?
q0477  22:49.3-22:50.8  В каком-то смысле.
q0478  22:51.7-22:55.9  Для публики я оставлю должность помощника управляющего вакантной.
q0479  22:56.0-22:57.2  Сам будешь своим помощником.
q0480  22:57.5-22:57.8  Верно.
q0481  22:58.4-22:59.9  Мне нужен кто-то, кому я смогу доверить.
q0482  22:59.9-23:03.6  Но я также хотел бы секретно доверять тебе.
q0483  23:03.6-23:07.6  Чтобы без помпы и фоноберий.
q0484  23:08.4-23:08.9  Хорошо.
q0485  23:10.5-23:16.7  Итак, ты будешь управляющим филиала и помощником управляющего филиала.
q0486  23:17.4-23:18.7  Энди, твой второй номер.
q0487  23:19.9-23:22.7  Я буду секретным заместителем управляющего филиала.
q0488  23:22.7-23:25.7  Назовем это секретным помощником управляющего.
q0489  23:26.4-23:27.9  Ты согласна?
q0490  23:29.3-23:30.9  Разумеется, согласна.
q0491  23:30.9-23:32.4  Я научилась от Джима.
q0492  23:32.5-23:35.1  Если Дуайт предлагает согласиться на что-то секретное,
q0493  23:35.7-23:36.5  надо отвечать.
q0494  23:37.6-23:38.8  Разумеется, согласна.
q0495  23:43.3-23:44.3  Привет, привет!
q0496  23:44.7-23:46.6  Майкл, рад тебя видеть.
q0497  23:46.8-23:47.5  Рад вас видеть.
q0498  23:47.8-23:48.4  Присаживайся.
q0499  23:48.7-23:51.2  Это показатели после объединения, которые вы просили.
q0500  23:51.4-23:52.0  Отлично.
q0501  23:52.3-23:54.4  Кстати, я хотел бы поблагодарить тебя.
q0502  23:54.6-23:57.2  Ты не потерял ни одного клиента во время слияния
q0503  23:57.2-23:59.0  и смог удержать бюджет в порядке.
q0504  23:59.1-24:00.0  Отличная работа.
q0505  24:00.0-24:00.3  Итак.
q0506  24:00.9-24:03.0  Позволь мне сразу же задать тебе вопрос.
q0507  24:03.5-24:06.3  Какие твои самые сильные стороны как управляющего?
q0508  24:06.4-24:08.4  Пожалуй, лучше расскажу о своих слабостях.
q0509  24:09.1-24:12.2  Я слишком много работаю, слишком пекусь о деле,
q0510  24:12.7-24:15.5  и иногда я слишком много вкладываю в свою работу.
q0511  24:17.4-24:17.8  Хорошо.
q0512  24:19.0-24:20.2  А сильные стороны?
q0513  24:20.4-24:21.8  Ну, мои слабости есть.
q0514  24:22.9-24:23.5  Моя сила.
q0515  24:24.1-24:24.3  О.
q0516  24:25.1-24:25.8  Да.
q0517  24:26.5-24:27.2  Очень хорошо.
q0518  24:27.4-24:28.8  Пожалуйста, очень хорошо.
q0519  24:28.8-24:28.9  Хорошо.
q0520  24:29.4-24:30.7  Давай, это наш новый босс.
q0521  24:30.9-24:32.4  Нет, Майкл никуда не уйдёт.
q0522  24:33.2-24:34.8  Тогда кто, по-твоему, получит должность?
q0523  24:34.8-24:35.1  Карен.
q0524  24:36.6-24:38.1  Она выглядит по-деловому.
q0525  24:38.9-24:40.3  Эти её костюмчики.
q0526  24:40.5-24:42.1  Я думаю, что Майклу дадут место.
q0527  24:42.3-24:43.6  Ты правда думаешь, что он подойдёт?
q0528  24:44.5-24:47.2  Нет, но он и здесь не подходил, а должность получил.
q0529  24:47.7-24:48.3  Да.
q0530  24:48.9-24:51.0  Слушайте, выйдите в центр комнаты, пожалуйста.
q0531  24:53.6-24:56.3  Это Бакс Шрута.
q0532  24:56.3-25:01.9  Когда вы делаете что-то хорошее, получаете один бакс шрута.
q0533  25:02.8-25:07.0  Тысяча баксов шрута, дополнительные пять минут к обеду.
q0534  25:08.4-25:10.2  Какая наличная ценность баксов шрута?
q0535  25:10.4-25:13.2  Отличный вопрос, Пэм. Одна сотая цента.
q0536  25:13.9-25:17.3  Значит, десять тысяч твоих долларов стоит один настоящий доллар?
q0537  25:18.0-25:18.7  Заткни фонтан.
q0538  25:19.7-25:20.5  Еще одно объявление.
q0539  25:21.1-25:24.7  Майкл тратил огромное количество общего времени и терпения
q0540  25:24.7-25:29.8  на не относящиеся к работе праздники и приятные благоглупости.
q0541  25:30.4-25:31.1  Довольно.
q0542  25:31.7-25:33.2  Больше никаких собраний.
q0543  25:33.9-25:34.5  Аминь.
q0544  25:34.9-25:39.0  Вместо того, сегодня я начну свою первую лекцию из долгой серии лекций,
q0545  25:39.3-25:42.0  созданных для повышения вашего знания о мире бумаги.
q0546  25:42.3-25:43.0  Мы обязаны ходить?
q0547  25:43.4-25:44.3  Да, Майкла нет.
q0548  25:44.7-25:46.5  Теперь в этом офисе новый шериф.
q0549  25:47.4-25:48.3  И его имя?
q0550  25:49.1-25:49.6  Мое.
q0551  25:50.3-25:52.2  Переговорная, 10 секунд, время пошло.
q0552  25:52.2-25:55.7  Я буквально не могу дождаться, чтобы посмотреть, что спланировал Дуайт.
q0553  25:57.0-25:58.2  И жаль, что Джима нет.
q0554  25:59.5-26:01.5  Что, по-твоему, мы можем делать лучше?
q0555  26:01.9-26:04.7  Я никогда не был фанатом названия Дандер Нифлен.
q0556  26:04.7-26:11.2  Я думаю, мы могли бы назвать компанию как-нибудь «Великая бумага» или «Великая страсть к бумаге».
q0557  26:11.2-26:12.3  Мы же великие.
q0558  26:19.1-26:21.7  Не знаю, это было бы неплохо.
q0559  26:22.2-26:24.6  Хорошо. Спасибо, что пришел, Майкл.
q0560  26:25.1-26:28.2  Спасибо. Мне очень приятно, когда наши пути пересекаются.
q0561  26:28.5-26:30.9  Мне очень приятно, когда наши пути пересекаются.
q0562  26:31.0-26:33.5  Да, пока я не забыл, хотел бы, чтобы вы знали,
q0563  26:34.5-26:37.0  если еще не в курсе Дженны, я снова вместе.
q0564  26:37.5-26:40.9  Так что мне надо снова заполнить эти любовные документы.
q0565  26:41.3-26:42.2  Вы снова вместе?
q0566  26:42.4-26:45.4  Да. И я очень рад возможности работать под ней.
q0567  26:45.9-26:46.9  Или над ней.
q0568  26:47.4-26:50.6  Не в смысле секса. Просто мы все профессионалы.
q0569  26:50.6-26:55.0  Ясно. Ну, я думал, это понятно из-за писания вакансии.
q0570  26:56.1-26:58.7  Место, на которое ты претендуешь, вместо Джен.
q0571  26:59.4-27:02.1  Я не понял. Как мы будем работать в команде?
q0572  27:02.7-27:04.4  Нет, мы увольняем Джен.
q0573  27:06.9-27:10.8  Слушайте, давайте начнём с самых азов.
q0574  27:12.2-27:13.4  Откуда берётся бумага?
q0575  27:14.9-27:15.7  Деревья.
q0576  27:15.8-27:17.5  Деревья. А где растут деревья?
q0577  27:17.5-27:19.5  В лесу.
q0578  27:19.5-27:20.3  Лесу.
q0579  27:20.3-27:20.8  На почве.
q0580  27:21.6-27:22.1  Верно.
q0581  27:22.9-27:27.7  Перед вами сейчас 7 различных типов пенсильванских грунтов.
q0582  27:27.7-27:36.7  Что вы скажете, это самый важный элемент в производстве левого цвета?
q0583  27:38.7-27:40.1  Наверное, фосфор.
q0584  27:40.5-27:40.8  Правильно?
q0585  27:41.8-27:42.4  Правильно.
q0586  27:42.7-27:43.6  Это нитроген.
q0587  27:43.9-27:44.9  Обсорбь эту информацию.
q0588  27:47.9-27:48.8  Хорошо.
q0589  27:49.5-27:51.5  Теперь обсудим осадки.
q0590  27:51.9-27:58.7  Стэнли, когда идут дожди, они обычно выпадают в жидкой, твёрдой или газообразной форме?
q0591  28:00.0-28:00.7  Жидкой.
q0592  28:01.3-28:02.0  Очень хорошо.
q0593  28:02.4-28:04.3  Ты заработал один бакс шрута.
q0594  28:05.1-28:06.1  Мне он не нужен.
q0595  28:06.7-28:09.2  Тогда у тебя вычитается 50 баксов шрута.
q0596  28:09.5-28:10.5  Дожми до сотни.
q0597  28:12.5-28:14.5  Ты не хочешь заработать баксы шрута?
q0598  28:14.8-28:19.4  Нет, я дам тебе миллиард центов, Стэнли, если ты не будешь со мной говорить.
q0599  28:19.5-28:22.3  Вот такая ставка центов Стэнли к Баксам Шротта.
q0600  28:22.7-28:24.5  Так же, что у единорогов Клеприкону.
q0601  28:24.8-28:27.3  Так, хватит, урок отменяется, все вон.
q0602  28:27.5-28:29.0  Нет, что ты делаешь, что ты делаешь?
q0603  28:29.1-28:31.1  Я их наказываю. Нет, нет, нет, урок не отменяется.
q0604  28:31.3-28:32.4  Это так глупо.
q0605  28:32.6-28:33.3  Эй, хватит.
q0606  28:33.9-28:35.6  Давайте послушаем презентацию Двайта.
q0607  28:39.1-28:41.0  Что? Что вы перемигиваетесь?
q0608  28:41.3-28:42.0  Заткни фонтан.
q0609  28:42.3-28:43.9  Это мой базовый план на пять лет.
q0610  28:44.0-28:45.6  Кто знает, что будет потом.
q0611  28:46.7-28:47.2  Хорошо.
q0612  28:47.2-28:50.9  Теперь это покажется немного странным вопросом.
q0613  28:51.7-28:54.1  Что ты думаешь о Майкле Скотте?
q0614  28:55.0-28:56.4  Он очень хороший человек.
q0615  28:56.6-28:59.0  И он очень подходит для своей должности.
q0616  28:59.8-29:01.0  Это не подзапись.
q0617  29:01.4-29:02.2  Это был бы кошмар.
q0618  29:08.4-29:09.5  Эй, привет.
q0619  29:10.1-29:10.6  Привет.
q0620  29:11.7-29:13.1  Как твоё собеседование?
q0621  29:13.2-29:14.2  Очень неплохо.
q0622  29:14.3-29:14.6  Да?
q0623  29:14.7-29:15.8  Думаю, могло быть и лучше.
q0624  29:15.8-29:16.3  О!
q0625  29:17.2-29:19.3  Но я замолвлю за тебя словечко.
q0626  29:19.4-29:19.8  Круто.
q0627  29:20.1-29:22.2  Может, тебе это стоит сделать, пока не поздно.
q0628  29:22.2-29:22.4  Что?
q0629  29:22.8-29:24.2  Давай просто убежим вместе.
q0630  29:24.4-29:25.7  Давай убежим на Ямайку.
q0631  29:25.9-29:26.8  Будем жить в бунгало.
q0632  29:27.1-29:28.3  У тебя есть сбережения, да?
q0633  29:28.4-29:29.5  Ты оплатишь мои долги?
q0634  29:29.9-29:31.2  Это было бы хорошо.
q0635  29:31.9-29:32.1  Что?
q0636  29:33.2-29:33.8  В чем дело?
q0637  29:34.4-29:34.8  Что?
q0638  29:36.2-29:37.9  Я не могу тебе сказать.
q0639  29:39.7-29:40.7  Что сказать?
q0640  29:47.2-29:49.1  Ты с***цем.
q0641  29:50.3-29:52.2  Джен, сейчас не время, у меня собеседование.
q0642  29:52.2-29:54.4  Ты меня увольняешь? Где ты витаешь, чёрт возьми?
q0643  29:56.0-29:57.6  Честно говоря, давно пора.
q0644  29:58.1-30:01.1  Твоё поведение в последние два года совершенно недопустимо.
q0645  30:01.8-30:02.3  Недопустимо?
q0646  30:02.3-30:04.3  Ты совсем не интересуешься работой.
q0647  30:04.4-30:08.3  Ты постоянно куришь в кабинете, проводишь большую часть дня в онлайн-покупках.
q0648  30:09.0-30:11.2  Тебя нет на месте часами, иногда днями.
q0649  30:11.4-30:13.7  И ты говоришь, что навещаешь сестру в Скоттсдейли.
q0650  30:13.8-30:15.8  Ты ездишь в Скрэндон чаще, чем тебе.
q0651  30:15.8-30:16.4  В них всё дело?
q0652  30:17.0-30:18.9  Эй, Эй, Эй, Джен, успокойся.
q0653  30:18.9-30:20.9  Это... Нет, я хочу знать. Хочу знать.
q0654  30:21.0-30:23.5  Потому что если так, тогда... Тогда увидимся в суде.
q0655  30:23.5-30:24.3  Нет, это не так.
q0656  30:24.3-30:26.2  Нет, потому что ему они нравятся, ясно?
q0657  30:26.4-30:29.3  Ему они нравятся. И это единственное, что меня волнует.
q0658  30:29.6-30:32.6  Пришло время завершить твои деловые отношения с этой компанией.
q0659  30:33.2-30:34.4  Ты совершенно не в себе.
q0660  30:34.9-30:36.3  Эй, ты не в себе.
q0661  30:36.4-30:36.7  Да.
q0662  30:37.2-30:37.4  Нет.
q0663  30:39.1-30:40.3  Мы все не в себе.
q0664  30:40.3-30:44.1  Так, знаешь что? Я просто не уйду. Я не уйду. Не уйду.
q0665  30:45.1-30:46.7  Дэвид, я ей не говорил.
q0666  31:00.4-31:04.2  Я будто смотрю себе в душу, когда гляжу на эту стену.
q0667  31:04.6-31:07.4  Это как открытый космос без звёзд, такая чёрная.
q0668  31:08.0-31:10.0  Будет выглядеть просто шикарно.
q0669  31:10.3-31:11.6  Это так пугает.
q0670  31:11.7-31:14.0  Те, кто войдут сюда, будут принимать меня всерьёз.
q0671  31:14.1-31:17.4  Оставь надежду всяк сюда входящей.
q0672  31:17.7-31:18.4  Именно.
q0673  31:30.1-31:31.4  Пока, Хантер.
q0674  31:31.7-31:32.0  Пока.
q0675  31:33.2-31:34.7  Удачи с новой бандой.
q0676  31:35.8-31:36.6  О, спасибо.
q0677  31:36.6-31:38.2  Не позволяем изменить себя, ясно?
q0678  31:38.4-31:39.0  Удачи.
q0679  31:44.1-32:01.2  DimaTorzok
q0680  32:01.2-32:06.5  Ну так я подвезу ее до дома?
q0681  32:08.4-32:10.0  Дайте мне знать насчет должности
q0682  32:10.0-32:12.6  Вообще, Майкл, думаю, мы пойдем другим путем
q0683  32:12.6-32:14.4  Хорошо, рад, что мы на одной волне
q0684  32:14.4-32:16.2  У меня есть идеи для новых путей
q0685  32:16.2-32:19.5  Нет, мы не отдадим тебе должность
q0686  32:19.5-32:27.0  Знаете что, это даже хорошо
q0687  32:27.0-32:33.0  Потому что не думаю, что смогу забрать место своей девушке
q0688  32:33.0-32:35.1  Тогда я не буду хорошим парнем
q0689  32:35.1-32:40.4  Так что с удовольствием снимаю свое имя с конкурса
q0690  32:40.4-32:43.8  Вы согласны с моим самоотводом?
q0691  32:44.3-32:44.9  Согласен
q0692  32:44.9-32:45.9  Очень хорошо
q0693  32:45.9-32:47.9  Рад, что мы наконец-то на одной волне
q0694  32:47.9-32:50.9  За мной остается должность в Скрантоне?
q0695  32:51.1-32:51.2  Да.
q0696  32:51.6-32:52.8  То, чего я всегда хотел.
q0697  32:54.0-32:59.1  Эти двое, любой из них, превосходная кандидатура.
q0698  33:02.9-33:03.7  Ого!
q0699  33:04.7-33:09.4  Это был серьезный, жесткий жест саморазрушения.
q0700  33:10.2-33:12.5  Да, хотя мне ее немного жаль.
q0701  33:12.7-33:14.2  Не надо, она рехнулась.
q0702  33:16.2-33:17.5  О боже.
q0703  33:17.9-33:21.4  Знаешь, это может затянуться
q0704  33:21.4-33:23.3  Тебе не стоит оставаться, если не хочешь
q0705  33:23.3-33:25.3  Ладно, хорошо, мои друзья
q0706  33:25.3-33:26.5  Собираются на ланч в центре
q0707  33:26.5-33:29.1  И я хотела поехать к ним, так что...
q0708  33:29.1-33:29.5  Хорошо
q0709  33:29.5-33:31.6  Позвони мне, когда закончишь
q0710  33:31.6-33:32.0  Конечно
q0711  33:32.0-33:34.0  Удачи, Халберт
q0712  33:34.0-33:34.5  Спасибо
q0713  33:34.5-33:41.9  Тандер Мифлен, это Грейс
q0714  33:41.9-33:43.8  Конечно
q0715  33:43.8-33:50.0  О боже, то есть я просто не понимаю
q0716  33:50.0-33:51.7  Это так грубо, понимаешь?
q0717  33:51.9-33:53.3  Знаешь, наглость этого парня
q0718  33:53.3-33:55.1  Мне так жаль, это было ужасно
q0719  33:55.1-33:55.8  Просто...
q0720  33:55.8-33:58.2  Нет, вообще, думаю, всё хорошо
q0721  33:58.2-33:60.0  Знаешь, это просто отлично, правда
q0722  33:60.0-34:01.8  Думаю, прекрасно, что так случилось
q0723  34:01.8-34:04.8  Потому что, знаешь, моя работа всегда стояла на пути моего счастья
q0724  34:04.8-34:06.0  Так что...
q0725  34:06.0-34:07.0  Да
q0726  34:07.0-34:10.8  Ну...
q0727  34:13.8-34:15.0  Нет.
q0728  34:16.3-34:18.4  Нет, не плачь.
q0729  34:18.7-34:19.9  Все будет в порядке.
q0730  34:20.4-34:21.7  Я знаю, знаю.
q0731  34:22.1-34:24.0  Это просто...
q0732  34:24.0-34:24.4  Извини.
q0733  34:25.3-34:28.2  Это все обезболивающее, которое я принимаю после операции.
q0734  34:28.7-34:30.6  Из-за них у меня перепады настроения.
q0735  34:31.5-34:34.3  Что же мне делать?
q0736  34:38.3-34:39.7  Я не знаю.
q0737  34:39.7-34:43.3  Ну, я думаю, ты могла бы остановиться в моей квартире.
q0738  34:43.3-34:45.4  Думаю, я смогу отменить продажу
q0739  34:45.4-34:48.6  Получу минус к профилю на eBay, но...
q0740  34:48.6-34:49.2  Жить вместе
q0741  34:49.2-34:50.8  Постой, это будет замечательно
q0742  34:50.8-34:52.3  Это будет идеально
q0743  34:52.3-34:54.9  Знаешь, моей работой станут наши отношения
q0744  34:54.9-34:58.1  Смогу носить брюки в обтяжку и ждать тебя домой в четверть шестого
q0745  34:58.1-34:59.1  У нас получится
q0746  34:59.1-35:11.3  Я вернусь
q0747  35:13.3-35:14.7  И я вернулся.
q0748  35:15.5-35:16.2  Как все прошло?
q0749  35:16.8-35:18.2  Нет, нет, Пэм.
q0750  35:18.6-35:20.0  Я вернулся.
q0751  35:21.6-35:22.3  Навсегда.
q0752  35:23.9-35:24.9  Кевин Нилан.
q0753  35:25.1-35:26.8  Могу я привлечь всеобщее внимание?
q0754  35:28.1-35:31.8  С большой гордостью и достоинством я заявляю вам,
q0755  35:31.8-35:37.8  что официально вычеркнул свое имя из списков соискателей должности в правлении.
q0756  35:38.1-35:39.8  Знаю, знаю, знаю.
q0757  35:40.0-35:41.6  Майкл, о чем ты думал?
q0758  35:41.7-35:42.7  Это был Верняк.
q0759  35:42.7-35:47.9  Ну, я пришёл туда, прошёл собеседование, и произошла странная вещь.
q0760  35:48.8-35:50.2  А почему у меня кабинет чёрный?
q0761  35:51.8-35:54.1  Чтобы запугать моих подчинённых.
q0762  35:54.2-35:54.7  Это глупо.
q0763  35:55.6-35:56.6  Это была идея Энди.
q0764  35:56.9-35:58.3  Тебе не стоило её принимать.
q0765  35:59.1-36:00.0  Плохое управление.
q0766  36:00.8-36:02.5  Хорошо, что я вернулся.
q0767  36:03.9-36:05.3  Райан, кофе.
q0768  36:06.2-36:07.5  Я больше этим не занимаюсь.
q0769  36:07.8-36:09.2  Нет, это для меня, парень.
q0770  36:10.3-36:10.6  Тети.
q0771  36:10.6-36:18.8  Итак, я вернулся, и я никогда больше не уйду.
q0772  36:20.4-36:21.9  Я никуда не собираюсь.
q0773  36:24.1-36:30.4  Это место как больница, где я родился.
q0774  36:31.6-36:32.2  Мой дом.
q0775  36:33.8-36:37.5  Мой старый добрый дом.
q0776  36:37.5-36:40.9  И могила для моих костей.
q0777  36:42.5-36:44.0  Карен получила должность.
q0778  36:46.8-36:48.3  Вернёмся к работе.
q0779  36:48.6-36:49.7  Всё ещё жду свой кофе.
q0780  37:04.0-37:05.5  Эм, привет.
q0781  37:05.5-37:06.7  Дуайт, привет.
q0782  37:07.5-37:11.8  Я хотел поблагодарить тебя за помощь мне,
q0783  37:12.9-37:16.5  когда ты несла вахту секретного помощника, управляющего филиалом.
q0784  37:19.4-37:22.6  Ты служила офису с большим достоинством.
q0785  37:30.6-37:35.7  Нет, я не знаю, что принесёт будущее, но я оптимистка.
q0786  37:35.7-37:39.7  И мне понравилось таскаться за Дуайтом сегодня
q0787  37:39.7-37:45.6  Мы с Джимом просто очень похожи
q0788  37:45.6-37:48.8  Может, однажды я найду свою Карен
q0789  37:48.8-37:53.3  Но вы... это...
q0790  37:53.3-37:55.4  Я не про... мужчину
q0791  37:55.4-37:57.1  Мужскую версию
q0792  37:57.1-38:00.7  Но до тех пор...
q0793  38:00.7-38:02.9  Я буду держать голову выше
q0794  38:02.9-38:05.6  Я не лезбия
q0795  38:05.6-38:09.9  Не знаю, как мне нанять фаната Сикстерс
q0796  38:09.9-38:11.2  Я Лосю пойду
q0797  38:11.2-38:14.4  Позволь мне задать тебе вопрос, Джим
q0798  38:14.4-38:16.1  Ты определенно очень умный парень
q0799  38:16.1-38:16.5  Спасибо
q0800  38:16.5-38:18.3  Всегда держишь марку, презентабельный
q0801  38:18.3-38:20.6  Производишь большое впечатление на тех, с кем встречаешься
q0802  38:20.6-38:23.5  Простите, так вопрос в том, как я стал таким шикарным?
q0803  38:23.7-38:25.0  У меня нет на него ответа
q0804  38:25.0-38:27.9  О, у тебя с собой твой квартальный отчет
q0805  38:27.9-38:28.9  Да, конечно
q0806  38:28.9-38:29.8  И бланк анкеты
q0807  38:29.8-38:31.5  Прости, что пришлось заставить запомнить
q0808  38:31.5-38:32.3  О нет, разумеется
q0809  38:32.3-38:33.9  Это просто формальность
q0810  38:33.9-38:35.5  Наш кадровик просто ужасен
q0811  38:35.5-38:37.4  но он единственный, кто тебе не понравится.
q0812  38:37.6-38:38.7  Не забывай нас, Пэм.
q0813  38:38.8-38:39.3  Хэндл.
q0814  38:41.8-38:43.9  Итак, начнем.
q0815  38:44.0-38:44.6  Прошу вас.
q0816  38:44.9-38:47.1  Как думаешь, справишься здесь, в Нью-Йорке?
q0817  38:49.1-38:49.5  Что?
q0818  38:49.8-38:50.8  О, прекрасно.
q0819  38:50.8-38:52.2  Знаете, я просто...
q0820  38:52.2-38:54.8  Я очень проникся зданиями и...
q0821  38:55.3-38:56.8  людьми и...
q0822  38:56.8-38:59.8  и энергетикой Нью-Йорка.
q0823  39:00.5-39:05.3  Не говоря о том, что есть места, которые открыты после восьми, и это бонус.
q0824  39:05.5-39:07.4  Ты слишком долго работал в Скрэндоне.
q0825  39:09.0-39:10.8  Что тебе там больше всего нравится?
q0826  39:14.1-39:14.8  Друзья.
q0827  39:15.8-39:16.2  Хорошо.
q0828  39:17.2-39:21.1  Мы хотим человека, который займет это место на долгий срок.
q0829  39:22.1-39:24.4  Итак, долгий срок.
q0830  39:24.6-39:26.4  Кем ты себя ведешь через 10 лет?
q0831  39:35.5-39:37.3  Как твои ноги?
q0832  39:38.1-39:39.8  Вредненько. Спасибо.
q0833  39:43.2-39:46.2  Настоящая причина того, что я уехал в Стэнфорд,
q0834  39:46.2-39:52.2  то, что я хотел быть не здесь.
q0835  39:53.7-39:54.3  Я знаю.
q0836  39:56.2-39:58.3  И даже когда я вернулся,
q0837  39:58.3-40:07.1  Я чувствовал, что по-настоящему не вернулся
q0838  40:07.1-40:15.5  Хотелось бы, чтобы ты вернулся
q0839  40:23.7-40:25.1  Дандер Мюфен, это Пэм
q0840  40:25.1-40:28.0  Один момент, я вас переведу
q0841  40:28.0-40:30.0  Я ничего не слышала.
q0842  40:30.5-40:32.2  Но держу пари, что Джиму отдали место.
q0843  40:32.8-40:33.7  То есть, а почему нет?
q0844  40:34.1-40:35.5  Он очень опытный и умный.
q0845  40:36.8-40:37.4  Все его любят.
q0846  40:39.7-40:42.1  И если он никогда не вернется,
q0847  40:44.1-40:44.8  это нормально.
q0848  40:46.2-40:46.7  Мы друзья.
q0849  40:47.3-40:49.0  И уверенно останемся друзьями.
q0850  40:50.2-40:51.7  Мы просто не совпадаем по времени.
q0851  40:53.0-40:53.4  Понимаете?
q0852  40:53.9-40:56.6  Я его оттолкнула, потом он так же поступил со мной.
q0853  40:56.6-41:00.2  Но знаете, все хорошо
q0854  41:00.2-41:02.8  Со мной все хорошо
q0855  41:02.8-41:05.0  Все будет абсолютно...
q0856  41:05.0-41:06.6  Бэм, простите
q0857  41:06.6-41:09.9  Ты свободна сегодня вечером?
q0858  41:10.9-41:11.2  Да
q0859  41:11.2-41:12.4  Хорошо
q0860  41:12.4-41:14.4  Тогда у нас свидание
q0861  41:23.1-41:24.7  Простите, какой был вопрос?
q0862  41:25.8-41:26.5  Знаю
q0863  41:26.5-41:33.6  Раньше мы проявляли неуверенность, но после размышлений я был бы рад предложить вам эту должность.
q0864  41:34.4-41:34.9  Отлично.
q0865  41:36.1-41:37.0  Очень рад.
q0866  41:37.9-41:40.1  Мы все рады, что вы к нам присоединитесь.
q0867  41:40.3-41:42.1  Хорошо, что здесь будет выпускник бизнес-школы.
q0868  41:42.1-41:43.1  Я тоже очень рад.
q0869  41:44.7-41:45.2  Хорошо.
q0870  41:46.4-41:46.8  Пока.
q0871  41:48.9-41:49.8  Кто это был?
q0872  41:50.0-41:50.4  Никто.
q0873  41:51.8-41:53.2  Мы с тобой расстаёмся.
q0874  41:53.6-41:53.8  Что?
q0875  41:56.5-42:26.5  Продолжение следует...
q0876  42:26.5-42:56.5  Продолжение следует...
